"Window_Start","Window_End","BH_AnnReturn","BH_Sharpe","BH_MDD","TSM_AnnReturn","TSM_Sharpe","TSM_MDD","SMA_AnnReturn","SMA_Sharpe","SMA_MDD"
2005-03-02,2015-03-05,0.177551955486711,0.726221266965011,0.441548200628269,0.150485009767467,0.746337648961936,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-03,2015-03-06,0.176343105682334,0.722457897555456,0.441548200628269,0.148389309511381,0.738009182335393,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-04,2015-03-09,0.177053658859495,0.724625623830794,0.441548200628269,0.149001409861312,0.74053169657181,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-07,2015-03-10,0.175466759589712,0.719743685086901,0.441548200628269,0.147722760223414,0.735525836276831,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-08,2015-03-11,0.174598350961403,0.717045946839337,0.44154820062827,0.146102348259157,0.729122735979568,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-09,2015-03-12,0.177597859534153,0.726159367414509,0.441548200628269,0.148280437272295,0.737689810616941,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-10,2015-03-13,0.176409782428448,0.722479374368146,0.441548200628269,0.146589336332507,0.731001875220506,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-11,2015-03-16,0.176438956951417,0.722567770854464,0.441548200628269,0.147352745261388,0.73411896302545,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-14,2015-03-17,0.176683017264118,0.723314927708321,0.441548200628269,0.147415068173519,0.734478988989063,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-15,2015-03-18,0.179008669890981,0.730424833735774,0.441548200628269,0.148615397285403,0.739293913237746,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-16,2015-03-19,0.178088768951265,0.727669944847217,0.441548200628269,0.149596680803851,0.743256495448288,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-17,2015-03-20,0.183370135124,0.743382572823798,0.441548200628269,0.154179520634077,0.760634360342281,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-18,2015-03-23,0.182232947909674,0.739919910105795,0.441548200628269,0.153455292359659,0.757881573921761,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-21,2015-03-24,0.183249034204937,0.74307418081669,0.44154820062827,0.152362654653815,0.753648594548881,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-22,2015-03-25,0.183378005033557,0.743477418196611,0.44154820062827,0.150177781775816,0.74496749376903,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-23,2015-03-26,0.185720037870259,0.750672204158171,0.44154820062827,0.150542523533038,0.746518588847816,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-24,2015-03-27,0.187967741743267,0.757537788591037,0.44154820062827,0.151172715971266,0.74910810149843,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-28,2015-03-30,0.186026408182271,0.751837061583633,0.441548200628269,0.15237924080017,0.753930921320949,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-29,2015-03-31,0.185934974247306,0.751556866029501,0.44154820062827,0.151601305994893,0.750954981895917,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-30,2015-04-01,0.187239774651612,0.75560652744244,0.44154820062827,0.150540805184292,0.746840044414552,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-03-31,2015-04-02,0.186386640801501,0.753036930779624,0.441548200628269,0.150610171254765,0.747229444548818,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-04-01,2015-04-06,0.185095778971186,0.749154979922127,0.441548200628269,0.150628641452671,0.747417880611016,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-04-04,2015-04-07,0.185394860129072,0.750068204954816,0.44154820062827,0.150405781653762,0.746650064551661,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-04-05,2015-04-08,0.188145261469536,0.758410127479753,0.44154820062827,0.151888749407477,0.75254385556367,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-04-06,2015-04-09,0.186580624091098,0.75370509698197,0.44154820062827,0.151666958367573,0.751782009760086,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-04-07,2015-04-10,0.186266406790157,0.75274059961691,0.441548200628269,0.15065093981761,0.747841888609821,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-04-08,2015-04-13,0.185619687232522,0.750760869535195,0.44154820062827,0.149693172347638,0.744131863302439,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-04-11,2015-04-14,0.18628946742273,0.75279712746322,0.44154820062827,0.149953398230894,0.745274401808619,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-04-12,2015-04-15,0.186747621215489,0.754186306815963,0.441548200628269,0.150263196807888,0.746612359444561,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-04-13,2015-04-16,0.186657733776065,0.753913798185449,0.44154820062827,0.150281553913433,0.746800005549661,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
2005-04-14,2015-04-17,0.188866643148322,0.760869918445705,0.44154820062827,0.148497398447864,0.739725365500125,0.260843464685361,0.0627819221893893,0.414141050170318,0.424910054048765
