Date,Mkt-RF,SMB,HML,RMW,CMA,RF
20210615,-0.3,0.23,1.3,0.69,0.12,0
20210616,-0.45,0.43,0.19,-0.34,-0.24,0
20210617,0.01,-1.35,-3.57,-0.68,-1.1,0
20210618,-1.22,-0.8,-1.45,-0.42,-0.69,0
20210621,1.35,0.83,1.04,0.41,0.34,0
20210622,0.58,-0.09,-0.46,0.19,0.24,0
20210623,0.01,0.5,-0.28,-0.48,-0.23,0
20210624,0.69,0.74,0.25,-0.38,0.24,0
20210625,0.32,-0.51,0.44,-0.13,0.04,0
20210628,0.22,-0.84,-1.59,-0.51,-0.13,0
20210629,0,-0.41,-0.28,0.32,0.39,0
20210630,0.07,0.12,0.77,0.73,0.62,0
20210701,0.43,0.4,0.41,0.01,0.42,0
20210702,0.56,-1.52,-0.72,0.67,-0.15,0
20210706,-0.28,-1.04,-2,0.57,-0.71,0
20210707,0.09,-0.86,0.08,1.7,0.33,0
20210708,-0.86,-0.01,-0.77,-0.22,-0.03,0
20210709,1.25,0.84,1.57,-0.18,0.36,0
20210712,0.23,-0.02,0.58,0.3,-0.29,0
20210713,-0.56,-1.22,-0.42,0.71,0.13,0
20210714,-0.26,-1.17,0.34,1.93,0.6,0
20210715,-0.38,-0.26,0.79,0.34,-0.07,0
20210716,-0.77,-0.38,-1.28,0.12,-0.83,0
20210719,-1.42,0.04,-1.75,-0.43,-1.12,0
20210720,1.69,0.84,0.16,-0.56,0.38,0
20210721,0.95,0.71,0.81,-0.98,0.06,0
20210722,0.09,-1.55,-1.01,0.5,-0.38,0
20210723,0.98,-0.32,-0.48,0.48,-0.36,0
20210726,0.18,0.09,1.34,0.27,0.88,0
20210727,-0.66,-0.45,0.58,0.45,0.11,0
20210728,0.27,1.21,-0.66,-1.55,-0.73,0
20210729,0.41,0.22,0.94,0.82,0.52,0
20210730,-0.65,-0.08,-0.17,0.56,0.39,0
20210802,-0.12,-0.12,-0.41,-0.06,-0.31,0
20210803,0.73,-0.4,0.92,0.64,0.2,0
20210804,-0.39,-0.95,-1.58,-0.36,-1.09,0
20210805,0.74,1.06,-0.09,-1.31,-0.43,0
20210806,0.09,0.46,1.9,0.6,0.33,0
20210809,0.01,-0.45,-0.27,-0.62,-0.54,0
20210810,0.06,0.36,1.85,0.73,0.9,0
20210811,0.19,0.29,1.41,0.88,0.5,0
20210812,0.24,-0.69,-0.39,0.06,0.1,0
20210813,0,-0.95,-0.24,0.7,-0.01,0
20210816,-0.05,-0.86,0.04,1.66,0.16,0
20210817,-0.8,-0.49,-0.12,-0.3,0.1,0
20210818,-0.95,0.11,-0.17,-0.29,-0.67,0
20210819,-0.15,-0.95,-0.83,1.39,-0.46,0
20210820,0.92,0.85,-0.47,-0.38,-0.3,0
20210823,1.08,0.76,-0.84,-1.84,-0.06,0
20210824,0.41,0.41,0.36,-0.73,0.08,0
20210825,0.26,0.05,0.37,-0.41,-0.02,0
20210826,-0.65,-0.43,-0.33,-0.06,-0.16,0
20210827,1.07,1.64,0.31,-0.71,0.14,0
20210830,0.35,-0.69,-1.36,0.66,0.13,0
20210831,-0.13,0.46,-0.05,-0.46,-0.22,0
20210901,0.11,0.39,-0.93,-0.42,-0.37,0
20210902,0.36,0.21,-0.04,-0.43,0.58,0
20210903,-0.01,-0.55,-0.27,0.04,-0.28,0
20210907,-0.36,-0.37,-0.08,-0.59,0.17,0
20210908,-0.34,-0.74,0.08,0.75,0.19,0
20210909,-0.27,0.25,0.09,-0.79,-0.31,0
20210910,-0.76,-0.03,0.03,0.21,-0.47,0
20210913,0.14,0.22,1.33,0.21,0.99,0
20210914,-0.66,-0.67,-0.97,0.44,-0.47,0
20210915,0.88,0.12,0.65,-0.24,0.48,0
20210916,-0.03,-0.08,-0.56,-0.41,-0.56,0
20210917,-0.72,0.97,-0.05,-0.64,-0.44,0
20210920,-1.87,-0.57,0.21,0.76,0.27,0
20210921,0.05,0.25,-0.67,-0.44,-0.33,0
20210922,1,0.14,0.54,-0.52,0.48,0
20210923,1.28,0.46,0.93,-1.01,0.2,0
20210924,0.08,-0.39,0.7,0.57,0.26,0
20210927,-0.1,1.7,2.44,-0.27,0.73,0
20210928,-2.18,-0.01,1.75,0.84,1.08,0
20210929,0.03,-0.2,0.81,1.16,0.32,0
20210930,-1.02,0.07,-0.77,-1.21,-0.36,0
20211001,1.1,0.47,0.5,-0.1,0.6,0
20211004,-1.43,0.4,2.33,0.69,1.09,0
20211005,1.05,-0.57,-0.05,-0.07,-0.3,0
20211006,0.33,-0.99,-0.5,0.34,-0.67,0
20211007,1.01,0.45,-0.16,-0.08,0.05,0
20211008,-0.27,-0.45,1.12,0.09,0.62,0
20211011,-0.72,0.21,-0.27,-0.03,0.29,0
20211012,-0.06,0.55,-0.43,-0.88,-0.26,0
20211013,0.43,-0.09,-1.05,-0.47,-0.77,0
20211014,1.66,-0.37,-0.27,-0.01,-0.12,0
20211015,0.63,-1.13,0.3,0.38,-0.05,0
20211018,0.41,-0.42,0,0.56,-0.06,0
20211019,0.71,-0.46,-0.25,-0.17,0.09,0
20211020,0.34,0.22,1.19,0.29,0.52,0
20211021,0.37,0.04,-0.96,0.33,-0.62,0
20211022,-0.25,0.01,1.01,0.44,0.46,0
20211025,0.58,0.37,-0.14,-0.42,-0.37,0
20211026,0.04,-0.77,-0.31,-0.36,-0.15,0
20211027,-0.76,-0.95,-1.19,0.85,-0.61,0
20211028,1.14,0.82,-0.49,-0.3,-0.17,0
20211029,0.22,0.14,-0.83,0.57,-0.78,0
20211101,0.51,2.05,0.45,-1.13,0.02,0
20211102,0.24,-0.32,-0.54,0.43,0.14,0
20211103,0.8,1.44,-0.13,0.2,-0.39,0
20211104,0.39,-0.28,-1.36,0.66,-0.72,0
20211105,0.38,0.78,1.2,0.01,1.3,0
20211108,0.18,0.01,0.08,-0.49,-0.07,0
20211109,-0.35,-0.14,0.45,0.58,0.28,0
20211110,-1.07,-0.3,0.93,1.38,-0.07,0
20211111,0.24,0.63,0.33,0.13,0.1,0
20211112,0.74,-0.45,-0.91,0.4,-0.3,0
20211115,-0.02,-0.46,0.69,0.55,0.48,0
20211116,0.5,-0.17,-0.71,0.18,-0.65,0
20211117,-0.47,-0.64,-0.25,0.82,0.16,0
20211118,0.06,-0.76,-0.07,1.27,-0.09,0
20211119,-0.2,-0.4,-1.28,1.06,-0.6,0
20211122,-0.61,0.04,2.77,1.25,1.6,0
20211123,-0.03,-0.19,1.74,0.23,1.15,0
20211124,0.3,-0.14,-0.86,-0.52,-0.2,0
20211126,-2.23,-1.26,-0.94,0.27,-0.6,0
20211129,1.11,-1.32,-0.76,0.4,-0.32,0
20211130,-1.95,0.17,-1.14,-0.12,0.42,0
20211201,-1.61,-0.46,1.08,2.3,0.76,0
20211202,1.51,0.99,1.27,-0.67,0.04,0
20211203,-1.21,-0.87,1.07,1.76,1,0
20211206,1.19,0.84,0.61,0.08,0.63,0
20211207,2.22,-0.16,-1.8,-1.46,-0.45,0
20211208,0.47,0.34,-0.82,-0.95,0.2,0
20211209,-1.07,-1.05,1.54,1.42,0.98,0
20211210,0.7,-0.88,0.52,1.38,0.76,0
20211213,-1.04,-0.29,-0.98,0.3,-0.32,0
20211214,-0.76,-0.35,1.63,0.38,0.17,0
20211215,1.62,0.02,-1.91,0.04,-0.36,0
20211216,-1.2,-0.85,2.77,0.62,0.66,0
20211217,-0.65,1.48,-2.33,-1.71,-0.38,0
20211220,-1.27,-0.23,-0.4,0.04,0.15,0
20211221,2.06,0.67,0.2,-1.08,-0.2,0
20211222,0.97,0.18,-0.36,0.34,0.07,0
20211223,0.71,0.29,-0.48,-0.36,-0.39,0
20211227,1.22,-0.14,0.31,0.98,0.48,0
20211228,-0.27,-0.4,0.8,0.84,0.21,0
20211229,0.06,-0.03,0.17,0.7,0,0
20211230,-0.15,0.08,-0.41,-0.83,-0.41,0
20211231,-0.31,0.18,0.53,0.36,0.4,0
20220103,0.73,0.42,0.8,-1.17,0.59,0
20220104,-0.29,-0.08,3.64,0.63,1.47,0
20220105,-2.28,-0.94,2.59,1.39,1.25,0
20220106,0,0.38,1.75,-0.56,-0.01,0
20220107,-0.48,-0.96,2.02,-0.12,0.85,0
20220110,-0.15,-0.3,-0.28,-0.05,-0.37,0
20220111,1.1,-0.2,-0.28,-1.25,0.37,0
20220112,0.12,-0.86,0.51,0.77,0.27,0
20220113,-1.57,0.86,2.4,1.16,1.02,0
20220114,0.08,0.04,0.55,-0.85,0.49,0
20220118,-2.08,-0.9,1.36,0.8,0.97,0
20220119,-1.01,-0.36,-0.67,0.24,0.09,0
20220120,-1.14,-0.84,-0.23,-0.3,0.12,0
20220121,-2.1,0.38,0.48,1.03,0.49,0
20220124,0.53,1.75,-0.24,-0.07,-0.66,0
20220125,-1.43,-0.2,2.79,-0.8,1.6,0
20220126,-0.3,-1.06,0.09,0.43,-0.04,0
20220127,-0.79,-1.46,0.78,1.06,0.93,0
20220128,2.45,-0.61,-2.08,0.16,0.21,0
20220131,2.34,0.71,-2.84,-1.8,-1.6,0
20220201,0.87,0.12,0.66,-1.07,0.38,0
20220202,0.48,-1.59,0.72,1.48,0.49,0
20220203,-2.49,0.45,2.17,0.42,1.35,0
20220204,0.89,-0.28,-0.6,-1.69,-1.11,0
20220207,-0.25,0.66,0.23,-0.7,-0.01,0
20220208,1.02,0.73,-0.27,0.93,-0.45,0
20220209,1.61,0.02,-1.95,-1.09,-0.23,0
20220210,-1.69,0.03,1.23,-0.56,0.32,0
20220211,-1.92,0.91,2.12,-0.21,1.44,0
20220214,-0.35,0.09,-0.59,0.69,-0.18,0
